,past,present,future,swear,affect,posemo,negemo,anx,anger,sad,discrep
swarm intelligence,0.03708127084841939,0.08691416369106868,0.01815780252307091,0.006114547457577523,0.06916628806114522,0.05814607945857881,0.027505164606059975,0.006121227912204613,0.017829259286471676,0.005514662139970672,0.03560402739126326
cambridge analytica,0.03233342500477618,0.07917250086837724,0.008804244528807098,0.005281887111362455,0.04894347978609801,0.028038530485115464,0.021178011068669022,0.0034066864833229254,0.01115041499352295,0.0024327350701584542,0.016827179049314685
data ownership,0.032099344139262784,0.08243884396952011,0.020632319302525595,0.010204081632653059,0.07319181740417646,0.07142747555222916,0.01563013382726929,,0.009379280591767018,0.0018055923997396064,0.023798210750163133
participatory democracy,0.06116132081419908,0.09180372102667449,0.022562691789340932,0.007269646068587214,0.06304483121910104,0.0500011824039392,0.026847601470119217,0.005102079880305967,0.009996027527315175,0.010754967845232416,0.024066343269348933
peer-to-peer,0.019149956241884973,0.08499719839121583,0.013846087921701875,0.003030841986272199,0.052748040299847726,0.03832450100868996,0.015341549768822151,0.0023840763674931663,0.006444519323840643,0.0028307542602944917,0.019001644629587474
privacy by design,,0.1350829609294289,,,0.09649067407688097,0.08712128401247572,0.047619047619047616,,,,
digital economy,0.02275601237415579,0.08053022437073022,0.015218691354367814,0.005794221332845475,0.05625176903004067,0.039870634760778546,0.01897344132037294,0.002377648999941994,0.011605606354949807,0.005992700787477511,0.019980902243794566
data scandal,0.030846915912976003,0.11965654758002996,0.012843491928480687,0.037373582424049714,0.12190690253756946,0.11801945395980043,0.0306200629366584,0.002172353750674138,0.030565907487667462,0.004263269151768362,0.026881426906365403
fake news,0.027682217985155237,0.07855688826936238,0.008825226020476494,0.00584099991519551,0.06064098520635246,0.028744707009872503,0.03156367794156805,0.0028532401525610024,0.015382129908527468,0.003230584259692066,0.01638316725606007
network security,0.022906445460157115,0.08177482029693306,0.012914622214971314,0.0030355127953882914,0.04974582575874319,0.034945227523397605,0.01521421565189334,0.0030519449029364847,0.006576579571992635,0.0022020947898966493,0.023351392244254247
decentralization,0.017707421833164518,0.08936824712743621,0.013865363239666695,0.002215011992519773,0.05488446312607541,0.03771329442129118,0.01790637793837764,0.0021421977274465602,0.007381529355163197,0.0029053371814322035,0.020384005945193795
ubiquitous computing,0.10526315789473684,0.06705465587044535,,,0.06705465587044535,0.07692307692307693,0.05263157894736842,0.05263157894736842,,,
ai chip,0.02703717951684549,0.08104689549806678,0.011901379687582756,0.003199643291258971,0.05390087734042693,0.03524232538295844,0.021422041537099822,0.006005847646801082,0.006563121566764202,0.005730441344675421,0.021055712303405246
living lab,0.03268054960970256,0.07685708867314231,0.011177357486713422,0.009975719834885533,0.061153645795889715,0.054930070417758006,0.018139723407409263,0.0035236968839626975,0.010626937651155636,0.0041545288396411615,0.029793757953056485
global education,0.030042918485507046,0.09034736959748049,0.019142183549598048,0.018879692210391787,0.06044682375190276,0.04696372230027752,0.025140700068289723,0.0025472283157707545,0.015556411918031851,0.008318192181974413,0.03288401082032282
stellar,0.02459897891493843,0.07834546629270779,0.010941994567658032,0.0023401610604639597,0.05319445813206036,0.035445636520558696,0.017465000827692923,0.002007183040510314,0.0072796079233730104,0.0030982435785548183,0.01930721533817083
social objects,0.020843202273803884,0.16569204186179337,0.00556608242539081,0.0029606821411653247,0.11071981608577453,0.1150277584721226,0.019658929417337757,0.0017764092846991946,0.010540028422548557,0.0016579819990525818,0.057085900398883595
digital divide,0.024601245432695366,0.08332377849855566,0.0123588252919605,0.004728607296743496,0.05143940401953791,0.038083796144984854,0.017926111603779615,0.002781548303566382,0.00820114676965667,0.0061938095036556265,0.023213677943454705
deep web,0.031078086038761776,0.07992021207654752,0.009091417686078873,0.006470282668563138,0.053251427686819654,0.03018851111369769,0.023214507892004972,0.003718354712580132,0.011409949365389877,0.0020545351424864967,0.019922002382369196
e-procurement,0.05000000000000001,0.0916666666666667,,,,,,,,,0.05000000000000001
data aggregation,0.024331219885742127,0.09948590989867884,0.018234070165827277,,0.051255242935465836,0.04932844066606026,0.006422343744341869,0.0009680542110358179,,0.0019361084220716359,0.029350025791519248
deletefacebook,0.028991354639592428,0.0789272260025342,0.007922608440779778,0.09468602646531611,0.10532735402002025,0.03475779485541727,0.08511635504346952,0.0023301536491675636,0.08285319380704594,0.01614346358628512,0.014732708883339926
speech translation,0.030868926889286944,0.0801450620313157,0.004979685330219354,0.0021726925935281003,0.06693865363179086,0.04951805197354353,0.022283050569995713,0.002882200739665447,0.0071266868943305976,0.016985037450271072,0.03623057819142594
user experience,0.02437982383723119,0.08193393833686842,0.009777418986543482,0.002582087911123173,0.05072575716436572,0.034306461681554545,0.016494640303524585,0.0019151505100529422,0.006277003840300288,0.0025768788529071797,0.020165325608147044
5g,0.025499716409921443,0.07891495142718712,0.010352167188542144,0.0029683945514582103,0.04766905273996113,0.03157845790383137,0.015864756811253062,0.002228197191453919,0.005764504787265266,0.0028646183812217167,0.01864332435575963
ai system,0.023692810200926343,0.0790324889660546,0.013950193762222163,0.004073939546927146,0.055641951340327754,0.03649382940313564,0.020778884321144605,0.0031219224711370288,0.013635729601357973,0.003126223211779934,0.02193833202384735
knowledge commons,0.034234362970717094,0.03106301106301106,0.02,,0.03340221864376454,0.0205761316872428,0.04,0.02,,,0.01728928777089566
blockchain platform,0.017665466996989333,0.08850914279980139,0.01440940913829641,0.0031198593745247285,0.05682471142562998,0.04813302063186402,0.010958190487277312,0.0024389511357101167,0.004053458336706365,0.002419384481369371,0.01523732186390008
hci,0.028566606418554165,0.07589654633718719,0.009383816846893912,0.004575863190431245,0.057878604220232985,0.0342447359554447,0.023716390499992582,0.002661396988327122,0.012050984744060573,0.004100705845361462,0.019236005438195175
russian troll,0.028949195863750093,0.07824141299704435,0.008350651123460952,0.006674064306257933,0.05915207666650989,0.030322050545182947,0.029356293114105356,0.0029897161800116977,0.01725179104251437,0.0034462048961046285,0.0161586987729952
